horizon,Model,Stacja,Zmienne,MAPE,BIAS
Forecast_-20D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.17044903905963646,-21.82236679435982
Forecast_-21D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.17089545562174496,-22.344464008521904
Forecast_-22D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.1727792211126299,-22.817154683645242
Forecast_-23D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.17384286098667062,-23.288962200380237
Forecast_-24D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.17361007161897093,-23.821127231115383
Forecast_-25D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.1735284916552602,-24.31050282360839
Forecast_-26D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.17539371152564837,-24.766794327068883
Forecast_-27D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.17659892451878084,-25.294777575503247
Forecast_-28D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.1776558242720912,-25.86158885836996
Forecast_-29D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.1793777641772711,-26.326687400922122
Forecast_-30D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past+Future,0.18166071694450087,-26.694616551561204
